Class,Type,Alt Class,Captured Class,Walk Speed (miles/hr),Run Speed (miles/hr),Uniform 1,Uniform 2,Uniform 3,Uniform 4,Uniform 5,Uniform 6,Walk Sound,Stand Sound,Load Sound,Ram Sound,Fire Sound,Run Sound,Charge Sound,Melee Sound,Prone Sound,Flag Bearer Sprite,GUI,Friendly GUI,Enemy GUI,Fighting Formation,Walk Formation
UGLB_USA_Inf_GCM_East_17,1,,,4,8,USPR_USA_Inf_04_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_01_Private_s,USPR_USA_Inf_08_Private,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_04_Private,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_1,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_3,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_East_18,1,,,4,8,USPR_USA_Inf_04_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_01_Private_s,USPR_USA_Inf_08_Private,USPR_USA_Inf_04_Private_s,USPR_USA_Inf_04_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_1,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_1,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_East_19,1,,,4,8,USPR_USA_Inf_04_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_01_Private_s,USPR_USA_Inf_08_Private,USPR_USA_Inf_04_Private_s,USPR_USA_Inf_04_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_2,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_2,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_East_Vet_0,1,,,4,8,USPR_USA_Inf_04_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_04_Private_s,USPR_USA_Inf_04_Private,USPR_USA_Inf_04_Private_s,USPR_USA_Inf_04_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_3,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_3,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_East_Vet_1,1,,,4,8,USPR_USA_Inf_01_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_01_Private_s,USPR_USA_Inf_01_Private,USPR_USA_Inf_01_Private_t,USPR_USA_Inf_01_Private,SFX_Inf_Walk_2,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_3,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_1,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_East_Vet_2,1,,,4,8,USPR_USA_Inf_04_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_04_Private_s,USPR_USA_Inf_04_Private,USPR_USA_Inf_04_Private_s,USPR_USA_Inf_01_Private,SFX_Inf_Walk_2,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_2,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_2,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_East_Vet_3,1,,,4,8,USPR_USA_Inf_01_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_01_Private_s,USPR_USA_Inf_01_Private,USPR_USA_Inf_01_Private_t,USPR_USA_Inf_04_Private,SFX_Inf_Walk_2,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_1,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_3,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_East_Vet_4,1,,,4,8,USPR_USA_Inf_09_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_01_Private_s,USPR_USA_Inf_01_Private,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_04_Private,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_2,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_1,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_East_Vet_5,1,,,4,8,USPR_USA_Inf_09_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_01_Private_s,USPR_USA_Inf_01_Private,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_04_Private,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_3,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_2,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_East_Vet_6,1,,,4,8,USPR_USA_Inf_09_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_01_Private_s,USPR_USA_Inf_08_Private,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_04_Private,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_1,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_3,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_East_Vet_7,1,,,4,8,USPR_USA_Inf_09_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_01_Private_s,USPR_USA_Inf_08_Private,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_04_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_1,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_1,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_East_Vet_8,1,,,4,8,USPR_USA_Inf_09_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_01_Private_s,USPR_USA_Inf_08_Private,USPR_USA_Inf_04_Private_s,USPR_USA_Inf_04_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_2,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_2,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_East_Vet_9,1,,,4,8,USPR_USA_Inf_09_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_01_Private_s,USPR_USA_Inf_08_Private,USPR_USA_Inf_04_Private_s,USPR_USA_Inf_04_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_3,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_3,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_East_Vet_10,1,,,4,8,USPR_USA_Inf_09_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_04_Private_s,USPR_USA_Inf_04_Private,USPR_USA_Inf_04_Private_s,USPR_USA_Inf_04_Private,SFX_Inf_Walk_2,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_3,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_1,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_East_Vet_11,1,,,4,8,USPR_USA_Inf_09_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_01_Private_s,USPR_USA_Inf_01_Private,USPR_USA_Inf_09_Private,USPR_USA_Inf_09_Private,SFX_Inf_Walk_2,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_2,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_2,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_East_Vet_12,1,,,4,8,USPR_USA_Inf_09_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_04_Private_s,USPR_USA_Inf_04_Private,USPR_USA_Inf_04_Private_s,USPR_USA_Inf_01_Private,SFX_Inf_Walk_2,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_1,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_3,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_East_Vet_13,1,,,4,8,USPR_USA_Inf_09_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_01_Private_s,USPR_USA_Inf_01_Private,USPR_USA_Inf_01_Private_t,USPR_USA_Inf_04_Private,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_2,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_1,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_East_Vet_14,1,,,4,8,USPR_USA_Inf_09_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_01_Private_s,USPR_USA_Inf_01_Private,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_04_Private,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_3,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_2,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_East_Vet_15,1,,,4,8,USPR_USA_Inf_09_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_01_Private_s,USPR_USA_Inf_01_Private,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_04_Private,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_1,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_3,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_East_Vet_16,1,,,4,8,USPR_USA_Inf_09_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_01_Private_s,USPR_USA_Inf_08_Private,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_04_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_1,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_1,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_East_Vet_17,1,,,4,8,USPR_USA_Inf_09_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_01_Private_s,USPR_USA_Inf_08_Private,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_04_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_2,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_2,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_East_Vet_18,1,,,4,8,USPR_USA_Inf_09_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_01_Private_s,USPR_USA_Inf_08_Private,USPR_USA_Inf_04_Private_s,USPR_USA_Inf_04_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_3,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_3,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_East_Vet_19,1,,,4,8,USPR_USA_Inf_09_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_01_Private_s,USPR_USA_Inf_08_Private,USPR_USA_Inf_04_Private_s,USPR_USA_Inf_04_Private,SFX_Inf_Walk_2,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_3,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_1,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
,,,,,,,,,,,,,,,,,,,,,,,,,,
UGLB_USA_Inf_GCM_West_0,1,,,4,8,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,SFX_Inf_Walk_2,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_1,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_3,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_1,1,,,4,8,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_04_Private,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_2,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_1,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_2,1,,,4,8,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_Private_t,USPR_USA_Inf_08_Private,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_3,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_2,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_3,1,,,4,8,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_Private_t,USPR_USA_Inf_08_Private,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_1,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_3,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_4,1,,,4,8,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_Private_t,USPR_USA_Inf_04_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_1,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_1,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_5,1,,,4,8,USPR_USA_Inf_04_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_Private_t,USPR_USA_Inf_08_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_2,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_2,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_6,1,,,4,8,USPR_USA_Inf_04_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_04_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_3,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_3,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_7,1,,,4,8,USPR_USA_Inf_04_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_Private_t,USPR_USA_Inf_04_Private,SFX_Inf_Walk_2,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_3,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_1,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_8,1,,,4,8,USPR_USA_Inf_04_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_09_Private,USPR_USA_Inf_09_Private,SFX_Inf_Walk_2,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_2,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_2,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_9,1,,,4,8,USPR_USA_Inf_04_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_Private_t,USPR_USA_Inf_04_Private,SFX_Inf_Walk_2,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_1,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_3,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_10,1,,,4,8,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_2,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_1,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_11,1,,,4,8,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_04_Private,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_3,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_2,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_12,1,,,4,8,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_Private_t,USPR_USA_Inf_08_Private,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_1,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_3,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_13,1,,,4,8,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_Private_t,USPR_USA_Inf_08_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_1,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_1,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_14,1,,,4,8,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_Private_t,USPR_USA_Inf_04_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_2,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_2,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_15,1,,,4,8,USPR_USA_Inf_04_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_Private_t,USPR_USA_Inf_08_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_3,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_3,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
